Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
Canada,2341000000000,119778000000,45824959620,2571113270000,9984670,202080,8893,636,38794813,0,8,1,2,1,0,266,50,0,22,71,26,5,0,56,0,0,0,0,0,12,0,4,17,0,5688000,2377000,187686000000,130316000000,50687000,20092000,22868000,716,284,1425,1042300,49422
Singapore,800304000000,383946000000,18000000000,1884751660000,719,193,145,0,6028459,0,6,1,8,2,2,176,75,0,7,27,7,8,15,128,36,67,0,0,0,6,6,6,55,4,0,1514000,0,13724000000,0,1153000,3722000,3202,5,9,3500,0
Greece,192205000000,15222000000,8242150000,605000000000,131957,13676,1110,6,10461091,0,1,0,4,1,5,392,125,0,12,60,6,0,20,874,383,454,0,0,0,14,0,9,45,3,5000,308000,3284000,5173000000,10469000,10091000,4655000,1215,57,82,117000,2345
North Korea,15416000000,5500000000,4750000000,6050000000,120538,2495,1607,2250,26298666,0,2,6,0,1,4,377,153,51,0,79,0,0,9,2448,650,350,0,0,2,2,8,24,227,1,0,18000,0,0,21927000,22105000,17637000,264,10,81,25554,7435
Argentina,1213000000000,29560000000,993919790,74362000000,2780400,4989,11968,11000,46994384,0,4,5,2,0,0,133,13,6,14,39,7,1,0,199,11,95,0,0,3,0,6,2,13,0,807000,749000,43280000000,46228000000,869000,2534000,22286000,201,37,764,240000,17866
Nigeria,1318000000000,38612000000,3900000000,45009000000,923768,853,4477,8600,236747130,0,2,8,1,0,0,87,8,13,7,15,7,0,8,182,22,186,0,0,0,1,0,0,132,2,1541000,527000,39951000000,20719000000,1322000,1326000,113350000,928,28,50,195000,3798
Netherlands,1276000000000,79129000000,31791150000,5257949730000,41543,451,1053,6237,17772378,0,5,1,2,0,0,91,0,27,3,15,0,0,11,13,32,0,0,0,0,6,0,3,76,3,70000,840000,17774000000,33243000000,1761000,12796000,10315000,1187,18,44,139027,3055
Myanmar,287559000000,8590400000,2815031361,8748000000,676578,1930,6522,12800,57527139,0,2,8,4,0,1,182,39,11,18,66,3,0,5,572,124,924,0,0,0,6,3,3,146,2,7000,122000,16780000000,3788000000,1031000,907000,22742000,101,7,74,157000,5031
Mexico,2883000000000,232035000000,9100000000,306308000000,1964375,9330,4389,2900,130739927,0,1,7,3,1,1,254,1,19,24,105,15,0,0,0,21,0,0,0,0,1,3,0,142,0,2101000,1741000,31422000000,90566000000,6296000,15132000,60959000,674,35,1580,704884,23389
Bangladesh,1473000000000,21395000000,3340000000,58020000000,148460,580,4413,8370,168697184,0,2,9,1,0,0,138,27,0,11,54,3,0,0,224,25,341,0,0,0,7,6,2,61,5,13000,263000,24620000000,30384000000,767000,14050000,77355000,558,2,17,369105,2460
Portugal,556942000000,55160000000,6760000000,530000000000,92090,1793,1224,764,10639726,0,5,2,2,2,2,90,20,4,14,16,11,3,0,24,16,38,0,0,0,5,2,2,71,0,12932,200000,0,3700000000,0,0,5332100,1158,36,136,136635,3622
Norway,507680000000,81242000000,11189483200,787758400000,323802,25148,2566,1577,5509733,0,8,3,6,4,7,82,0,32,3,17,4,0,0,25,20,0,0,0,0,4,6,6,20,5,2020000,229000,123727000000,4548000000,120000,1096000,3042000,1720,141,146,95120,3848
South Africa,870420000000,65435000000,2877000000,93879000000,1219090,2798,5244,0,60442647,0,8,7,1,0,1,118,1,0,7,53,0,0,7,161,34,282,0,0,0,4,0,3,42,4,88000,609000,59128000,4487000000,239712000,176095000,27766000,110,8,573,750000,30400
Philippines,1202000000000,106195000000,6571641011,63241000000,300000,36289,145,3219,118277063,0,3,8,1,3,0,112,0,9,13,13,6,0,3,11,7,178,0,0,0,4,1,0,60,0,10000,457000,2251000000,2251000000,14457000,42859000,50979000,2203,70,256,216387,77
Malaysia,1212000000000,116229000000,5100000000,8748000000,329847,4675,2742,7200,34564810,0,0,6,3,1,3,79,15,7,9,19,4,2,0,29,0,118,0,0,0,2,4,2,72,4,582000,672000,75456000000,42499000000,4476000,35741000,18264000,1750,35,100,144403,1851
Colombia,978024000000,61898000000,15800000000,108027000000,1138910,3208,6672,24725,49588357,0,7,7,9,0,3,280,10,16,53,47,18,1,0,0,4,72,0,0,0,9,2,4,158,0,800000,374000,11290000000,11451000000,52376000,9720000,26822000,153,14,661,206102,2141
Iraq,585887000000,100691000000,8000000000,15580000000,438317,58,3809,5279,42083436,0,0,7,5,0,2,216,16,22,9,67,10,0,23,713,260,366,0,0,0,0,1,0,55,0,4448000,1043000,9860000000,19298000000,0,0,12008000,74,6,73,59623,2272
Denmark,440558000000,108405000000,14250000000,611050000000,43094,7314,140,400,5973136,0,6,3,4,2,9,98,21,15,3,29,2,0,0,33,14,0,0,0,0,9,0,0,9,6,63000,151000,1879000000,2208000000,0,1135000,3210000,715,69,102,73591,2682
